UWI,SurfLat,SurfLong,"TD, m","GL, m","Depth subsea, m","Depth subsurface, m","TSC, h","BHT, C","Synthetic Temp, C","Static Temp, C","True Temp, C",source,label
42013301410000,28.6904258,-98.4701375,5982.919008546592,105.43031662622987,3725.417880786628,3830.8481974128576,5.5,61.666666666666664,141.77305555555554,,141.77305555555554,synthetic,train
42013301930000,28.7799205780029,-98.2083129882813,3284.2198949049634,121.12751612391948,3168.7006986015776,3289.828214725497,11.0,107.22222222222223,,132.778,132.778,static,train
42013302760000,28.9943599700928,-98.4217987060547,1880.0063398397972,140.32991550944269,1747.418344082613,1887.7482595920555,5.5,65.55555555555556,,,,,train
42013305480000,28.7591182,-98.1564097,2498.7503200399897,125.08991599712269,2379.268723863401,2504.3586398605235,5.0,76.66666666666667,,,,,train
42013310190000,28.8173999786377,-98.1553192138672,3352.7998927104036,155.11881103619803,3203.289401494739,3358.408212530937,7.75,98.88888888888889,,,,,train
42013311740000,28.81907081604,-98.1513519287109,3339.388693139562,160.9130588507821,3151.7751551431948,3312.6882139939767,9.0,118.33333333333333,,,,,train
42013312950000,28.927915,-98.5774669,2022.957535265359,158.92271491447312,1879.7015398495507,2038.6242547640238,3.0,62.77777777777778,,,,,train
42013313140000,28.6940473,-98.7658609,2612.7455163921436,130.8811158118043,2484.7295204886555,2615.6106363004596,8.0,85.0,,,,,train
42013313780000,28.8512706756592,-98.7718200683594,2221.3823289157654,157.32251496567952,1880.6921398178515,2038.014654783531,7.0,65.0,,,,,train
42013325590000,28.9872493743896,-98.7019271850586,1610.258348471733,170.20031455358992,626.3639799563526,796.5642945099426,1.0,37.77777777777778,,,,,train
42013326640000,28.8255405426025,-98.1487121582031,3355.8478926128673,165.1406347154997,3196.3155777179018,3361.456212433401,14.0,110.0,,138.6111111,138.6111111,static,train
42013332560000,28.9074096679688,-98.4476776123047,3352.7998927104036,132.1003157727899,3226.3078967581473,3358.408212530937,7.083333333333333,96.66666666666667,,,,,train
42013339770000,28.7941703796387,-98.1953430175781,3352.7998927104036,147.34031528510988,3211.067897245827,3358.408212530937,6.0,113.88888888888889,,,,,test
42013339790000,28.8259506225586,-98.1421737670898,3365.6014923007524,160.44671486570513,3210.7630972555808,3371.2098121212857,8.0,116.66666666666667,,,,,train
42013340230000,28.8771095275879,-98.2406997680664,2905.353507028688,95.0366369588276,2815.925189890394,2910.9618268492213,0.0,90.55555555555556,,,,,train
42013340590000,28.783406,-98.2167746,3347.6182928762146,136.9771156167323,3221.4310969142048,3358.408212530937,8.0,120.55555555555556,,,,,train
42013340740000,28.8132991790771,-98.1574630737305,3274.4662952170784,152.2171151290523,3151.3270991575328,3303.544214286585,8.0,110.0,,,,,test
42013342130000,28.8621,-98.6329,2308.8599261164823,145.8163153338779,2168.651930603138,2314.468245937016,0.0,77.22222222222223,,,,,test
42021301990000,30.0108299255371,-97.1275863647461,2106.167932602626,103.75391667987466,2008.0223357432853,2111.77625242316,4.5,73.33333333333333,,,,,test
42025304380000,28.6869217,-97.9282528,4267.199863449604,165.32351470964753,936.6503700271882,1101.9738847368355,4.5,54.44444444444444,,65.55555556,65.55555556,static,train
42025324790000,28.6656093597412,-98.0211868286133,4237.329464405457,120.36551614830347,4121.962668097195,4242.328184245499,19.0,145.55555555555554,,,,,train
42041303170000,30.8805503845215,-96.2677688598633,3447.2878896867874,110.36807646822155,2553.0961583009225,2663.4642347691442,8.0,90.0,,,,,test
42041303360000,30.7161502838135,-96.256950378418,3623.1574840589606,111.83111642140427,2708.6051133246365,2820.4362297460407,5.0,96.11111111111111,,,,,train
42041304220000,30.9314804077148,-96.2214431762695,4117.543068238622,94.30511698223626,3592.6774850343204,3686.9826020165565,4.0,98.33333333333333,,,,,train
42041304470000,30.8464508056641,-96.3678894042969,5059.6798380902455,117.77471623120907,4962.75344119189,5080.528157423099,7.0,118.33333333333333,,,,,test
42041304690000,30.7614707946777,-96.3854064941406,2527.4015191231515,104.24159666426891,2419.9900025603197,2524.2315992245885,3.0,83.88888888888889,,,,,train
42041305800000,30.7352199554443,-96.4655075073242,2444.191121785884,107.83823654917641,2341.961205057242,2449.7994416064184,15.0,73.88888888888889,,82.77777778,82.77777778,static,train
42041305850000,30.7671794891357,-96.2927703857422,2738.627912363907,104.36351666036747,2466.7463210641176,2571.1098377244853,8.0,87.77777777777777,,,,,not assigned
42041306390000,30.6700592041016,-96.2477569580078,3131.819899781763,97.35311688470026,3040.0751027175966,3137.4282196022973,4.0,112.22222222222223,,,,,train
42041307560000,30.7199001312256,-96.3520126342773,2749.295912022531,116.73839626437132,2628.4122358908085,2745.1506321551797,7.0,90.0,,,,,test
42041307630000,30.7303295135498,-96.3658065795898,2668.2191146169885,115.94591628973068,2556.662318186806,2672.6082344765364,29.5,85.55555555555556,,,,,train
42041307950000,30.7219333,-96.3944498,2645.6639153387546,112.59311639702027,2538.9839187525145,2651.577035149535,4.0,90.0,,,,,test
42041308470000,30.7586823,-96.3638423,2656.9415149778715,113.20271637751307,2551.175918362371,2664.378634739883,8.0,93.33333333333333,,,,,test
42041308650000,30.6972904205322,-96.3907699584961,2719.4255129783837,107.41151656283147,2541.727118664732,2649.138635227564,0.0,87.77777777777777,,,,,train
42041308840000,30.7839508056641,-96.3676605224609,2590.7999170944026,113.76050035966398,2467.4077370429527,2581.1682374026163,16.0,80.0,,,,,train
42041309220000,30.7650108337402,-96.3936462402344,2552.6999183136027,120.51791614342667,2438.0951219809563,2558.613038124383,4.0,80.55555555555556,,,,,train
42041309330000,30.7816937,-96.3400767,2676.7535143438877,115.03151631899148,2567.33031784543,2682.361834164421,4.0,87.77777777777777,,,,,train
