UWI,SurfLat,SurfLong,"TD, m_x","GL, m","Depth subsea, m","Depth subsurface, m","TSC, h","BHT, C","Synthetic Temp, C","Static Temp, C","True Temp, C",source,label,SurfaceLatitude_NAD27,SurfaceLongitude_NAD27,BottomLatitude_NAD27,BottomLongitude_NAD27,"oil total cum, bbl","gas total cum, mcf","water total cum, bbl",gor total average,"gas maximum, mcf","oil maximum, bbl","water maximum, bbl",status,Mud Wt,"TD, m_y","MW at Depth(KB), m","KB, m","Min casing size, in",cumoil,cumgas,cumwater,GR,NPHI_SS,NPHI_LS,DPHI_SS,DPHI_LS,PEFZ,RHOB,CAL
42013301410000,28.6904258,-98.4701375,5982.919008546592,105.43031662622988,3725.417880786628,3830.8481974128576,5.5,61.66666666666666,141.77305555555554,,141.77305555555554,synthetic,train,28.6898389511823,-98.4695227934344,28.6898389511823,-98.4695227934344,39371.12428967774,658424.8015332414,44624.371877558886,32584091.627669472,21126.661671984115,2206.4808127182378,1618.4798200633863,plugged,9.3,5982.919008546592,1342.339157045147,99.8219968056961,6.955830843481987,46252.44491669734,776110.4335143515,47399.22542849764,28.919,0.0833074211012014,-0.0658086810097431,-0.054688113811891,-0.0353475009250967,4.951952685377378,2.7783,6.0281
42013301930000,28.7799205780029,-98.2083129882813,3284.2198949049634,121.12751612391948,3168.7006986015776,3289.828214725497,11.0,107.22222222222224,132.00555555555556,132.778,132.778,static,train,28.7797836759319,-98.2081093862151,28.7797837,-98.2081094,6140.0,8702967.0,1002330.677,1417421.336,98093.0,271.0,11771.16,producing,10.6,3284.2198949049634,3284.2198949049634,115.51919630338573,5.5,6140.0,8702967.0,1002330.677,70.17829146561917,0.2990553262029496,0.2323842727778389,0.1942714851323312,0.2061723013046217,4.846337530774981,2.3503,7.0612
42013302760000,28.9943599700928,-98.4217987060547,1880.0063398397967,140.32991550944269,1747.418344082613,1887.7482595920555,5.5,65.55555555555556,88.97411111111111,,88.97411111111111,synthetic,train,28.9945609505166,-98.4224745232807,28.9945609,-98.4224745,1929.332,7.992,0.0,4.142,0.333,533.333,0.0,plugged,10.1,1880.0063398397967,1882.139939771522,134.72159568890893,4.5,1929.332,7.992,0.0,22.4477,0.1530187167563637,0.0115,0.00498960084784,-0.0093,4.784638372748844,2.7198,8.0507
42013305480000,28.7591182,-98.1564097,2498.7503200399897,125.08991599712267,2379.268723863401,2504.3586398605235,5.0,76.66666666666667,108.00911111111114,,108.00911111111114,synthetic,train,28.9631443377508,-98.2956725415715,28.96314433,-98.29567246,0.0,10067.0,0.0,1087540.5145805855,1464.0,0.0,0.0,plugged,10.1,2498.7503200399897,2498.7503200399897,119.48159617658892,2.875,0.0,10067.0,0.0,38.4679,0.1714619893673461,0.0444,0.0279659313364604,0.0308,4.822343132842583,2.6534,8.0486
42013310190000,28.8173999786377,-98.1553192138672,3352.799892710404,155.11881103619805,3203.289401494739,3358.408212530937,7.75,98.88888888888889,133.7970088888889,,133.7970088888889,synthetic,train,28.8176818025438,-98.1551871959875,28.8176818025438,-98.1551871959875,4424.0,6610808.0,47611.388,1494305.606,63674.0,108.0,870.74,producing,10.8,3352.799892710404,3352.799892710404,149.51049121566427,4.324300105286163,3955.4566959308468,6686414.898851429,49298.61967875626,25.9448,0.1499612000688588,0.0111745452192246,-0.0142481153254063,0.0013767529016415,4.893333398777152,2.7101,7.5611
42013311740000,28.81907081604,-98.1513519287109,3339.388693139562,160.9130588507821,3151.7751551431948,3312.6882139939767,9.0,118.33333333333331,132.49148555555556,,132.49148555555556,synthetic,train,28.819012401804,-98.1510706022226,28.819012401804,-98.1510706022226,3697.0,5679789.0,37521.613,1536323.776,55767.0,110.0,334.602,producing,10.8,3339.388693139562,3340.303093110301,155.30473903024836,2.375,3697.0,5679789.0,37521.613,27.7337,0.1568505921470937,0.0233,0.044793147912447,0.0732,4.8091942512899735,2.5833,8.3771
42013312950000,28.927915,-98.5774669,2022.957535265359,158.92271491447312,1879.7015398495507,2038.624254764024,3.0,62.77777777777778,93.00011111111112,,93.00011111111112,synthetic,train,28.9276640279745,-98.5771702197169,28.927664,-98.5771702,32353.000488878257,643068.4036582812,43815.74722348404,31967642.516175114,20775.010276329176,1952.0311178400498,1563.3746338729022,plugged,9.2,2022.957535265359,1936.3943380353808,153.31439509393937,2.9937681336900654,41461.26627618757,765963.6558334336,46273.03681215527,32.9909,0.185263254375402,0.0575451716427601,-0.0014694110110404,0.0085828367106444,4.869156353338212,2.6955,8.9342
42013313140000,28.6940473,-98.7658609,2612.745516392144,130.8811158118043,2484.7295204886555,2615.61063630046,8.0,85.0,111.68822222222222,,111.68822222222222,synthetic,train,28.6937869440093,-98.7655581188348,28.6937869,-98.7655581,69.0,2.0,0.0,28.986,1.0,53.0,0.0,plugged,9.3,2612.745516392144,2610.002316479926,125.27279599127051,2.375,69.0,2.0,0.0,10.3626,0.2033499150843301,0.0772916866498985,0.084212891875401,0.1163878395713413,4.774945253957398,2.509042200927503,9.9499
42013313780000,28.8512706756592,-98.7718200683594,2221.3823289157654,157.32251496567952,1880.6921398178515,2038.014654783531,7.0,65.0,93.65847222222222,,93.65847222222222,synthetic,train,28.8511210574768,-98.7718561574911,28.8511211,-98.7718562,85.0,1.0,0.0,11.765,1.0,85.0,0.0,plugged,9.7,2221.3823289157654,2032.406334962997,151.71419514514577,4.5,85.0,1.0,0.0,23.1371,0.2800897107122091,0.1768907596119804,0.1890665505517592,0.2167185487506286,4.8008353221730005,2.331,6.0592
42013325590000,28.9872493743896,-98.7019271850586,1610.258348471733,170.20031455358992,626.3639799563526,796.5642945099426,1.0,37.77777777777778,49.95444444444444,,49.95444444444444,synthetic,train,28.9864330618159,-98.7027438052241,28.9864331,-98.7027438,31621.585713235232,641467.9912087419,43731.47398248304,31903397.449649666,20738.361888262658,1925.5128811735617,1557.6316818049927,plugged,9.0,1610.258348471733,790.9559746894088,164.59199473305617,2.5804783516010157,40961.939239316,764906.1794223756,46155.66768286339,65.93789265660644,0.3037306536022583,0.2122857398550175,0.1443674184324654,0.1361140684958783,4.986487372556105,2.467187045152114,0.0284
